response_dt,PFL_FLEET_TYP_CD,gts_12,gts_13,gts_14,gts_15,comped_med,natural_med,never_comped,lapsed_med,Lesiure_tkts_yr1,Business_tkts_yr1,total_ap_yr1,int_tkts_yr1,dom_tkts_yr1,dl_miles_flown_yr1,F_tkts_yr1,F_tkt_rev_yr1,F_miles_flown_yr1,C_tkts_yr1,C_tkt_rev_yr1,C_miles_flown_yr1,Y_tkts_yr1,Y_tkt_rev_yr1,Y_miles_flown_yr1,F_upsell_tkts_yr1,F_upsell_tkt_rev_yr1,F_upsell_miles_flown_yr1,total_tkts_yr1,total_tkt_rev_yr1,dist_partners,tenure,DSC_Entries,hhi,gts_1,dl_segs_yr1,dl_seg_rev_yr1,total_miles_flown_yr1
3-Oct-14,757,5,5,,,0,1,1,0,12,34,382,1,45,99169,34,29032,65774,0,0,0,12,10367,33395,1,1018,3058,46,39399,1,12,66,239,5,109,39399,99169
18-Jul-14,E75,3,3,,,0,1,1,0,25,16,150,2,39,109668,33,28650,95235,3,7935,16386,5,2813,5720,14,13854,49165,41,39398,1,23,49,250,2,110,35563,117341
6-Jul-14,76L,5,5,,,0,1,1,0,21,24,371,3,42,124530,38,32357,95674,1,1051,7506,6,5931,21773,13,13539,39434,45,39339,1,20,83,45,5,95,39099,124953
6-Jan-14,738,5,5,,,0,1,1,0,11,10,233,6,15,69687,8,2626,11736,8,34847,52471,5,1856,6901,0,0,0,21,39329,2,29,30,250,5,60,36618,71108
30-Mar-14,CRJ,4,3,,,0,1,0,0,16,1,326,15,2,121270,1,326,269,12,30655,97906,4,8329,28312,0,0,0,17,39310,2,16,34,110,3,58,37072,126487
9-Jan-14,M90,4,4,,,0,1,1,0,10,3,266,6,7,68867,5,6924,9477,6,31340,57862,2,1020,6949,0,0,0,13,39283,1,22,16,137,4,40,35601,74288
24-Aug-14,M90,5,5,,,0,1,0,0,13,4,298,10,7,86614,3,1227,6162,3,18954,35672,11,19082,96544,0,0,0,17,39263,2,21,15,81,5,35,23259,138378
14-Dec-14,76G,4,3,,,0,1,0,0,9,1,187,8,2,66355,2,2648,5164,8,36594,64349,0,0,0,1,1236,2582,10,39241,1,27,17,119,3,35,37686,69513
22-Dec-14,MD8,3,4,,,0,1,1,0,96,0,100,12,84,73208,53,23066,35613,7,4320,11424,36,11780,26171,8,2841,4471,96,39166,0,25,0,69,4,100,39166,73208
23-May-14,772,3,5,,,0,1,1,0,20,5,359,8,17,105205,9,6658,36890,8,27874,79069,8,4632,30200,0,0,0,25,39164,2,9,56,117,3,76,24965,146159
8-Dec-14,764,3,4,,,0,1,1,0,7,0,128,6,1,66426,0,0,0,4,34923,53428,3,4164,17577,0,0,0,7,39087,4,18,3,250,4,19,34587,71005
7-Feb-14,319,2,5,,,0,1,1,0,3,58,407,0,61,72617,46,28941,51027,3,1630,5664,12,8510,15926,0,0,0,61,39081,0,16,25,128,4,145,39081,72617
31-Mar-14,738,4,4,,,0,1,1,0,17,18,735,3,32,101816,18,9489,35060,3,21793,48133,14,7777,32313,0,0,0,35,39059,1,28,34,148,4,66,34324,115506
24-Dec-14,MD8,5,3,,,0,1,1,0,44,8,28,9,43,59857,39,24156,39836,9,13272,19001,4,1590,2209,25,14366,23049,52,39018,1,11,14,35,3,60,37754,61046
12-Sep-14,MD8,1,5,,,0,1,1,0,20,7,460,5,22,66180,23,15218,29447,4,23733,36733,0,0,0,16,10433,21967,27,38951,5,30,28,14,5,46,38951,66180
19-May-14,M90,5,4,,,0,1,1,0,9,3,229,5,7,32905,3,1859,4319,5,34928,43700,4,2149,1888,0,0,0,12,38936,1,22,10,120,4,23,21843,49907
26-Sep-14,E75,5,5,,,0,1,0,0,27,49,598,4,72,54819,54,13771,21378,8,22406,38483,14,2685,9368,2,995,3800,76,38862,5,9,20,180,5,111,27923,69229
26-Jan-14,320,5,3,,,0,1,1,0,35,19,363,3,51,107737,38,25978,76590,4,5977,16139,12,6905,22478,18,13179,33564,54,38860,2,11,4,250,3,97,35327,115207
12-Aug-14,MD8,3,2,,,0,1,1,0,15,2,160,7,10,72720,8,12273,16679,4,12205,25306,5,14337,30735,1,1307,1909,17,38815,3,18,25,153,3,52,38815,72720
2-Oct-14,CRJ,4,3,,,0,1,0,0,29,22,521,0,51,92207,26,20599,49911,0,0,0,25,18213,42500,0,0,0,51,38812,3,28,91,71,4,124,38716,92411
9-Jun-14,CRJ,3,,,,0,1,0,0,14,14,307,3,25,127359,18,13145,59983,4,17746,37749,6,7887,29627,1,536,7450,28,38778,0,30,79,85,1,112,38778,127359
11-Oct-14,77L,5,3,,,0,1,1,0,12,2,350,11,3,99130,1,351,690,11,37674,98500,2,734,1177,1,351,690,14,38759,1,6,16,,5,33,38325,100367
28-Apr-14,MD8,4,3,,,0,1,1,0,14,23,572,1,36,110107,18,13212,32060,6,15490,45316,13,10053,32731,2,1340,5738,37,38756,1,25,20,82,4,97,38756,110107
23-Sep-14,MD8,4,3,,,0,1,1,0,36,2,794,7,31,76085,23,14076,42842,6,20661,26354,9,3931,14246,10,6660,20123,38,38668,1,25,32,87,3,64,33331,83442
29-May-14,757,5,5,,,0,1,1,0,43,0,756,0,43,78452,34,33527,62576,1,265,1244,8,4873,14632,19,19633,35681,43,38665,2,18,42,14,5,145,38665,78452
5-Dec-14,717,5,4,,,0,1,0,0,19,21,208,0,40,60288,38,37022,55542,0,0,0,2,1625,4746,23,21849,41142,40,38647,2,32,74,41,5,75,38647,60288
15-Sep-14,CR9,4,4,,,0,1,1,0,17,33,554,1,49,114807,17,12542,32418,5,6344,10558,28,19720,71831,0,0,0,50,38606,2,27,9,131,5,116,38606,114807
5-Aug-14,M90,3,3,,,0,1,1,0,40,19,590,0,59,69617,52,33880,61209,2,998,4074,5,3714,4334,38,22201,43075,59,38592,0,33,0,126,2,91,38592,69617
13-Jan-14,73W,5,5,,,0,1,1,0,12,7,493,11,8,116162,5,3497,13884,6,29654,74339,8,5348,30916,1,1605,6378,19,38499,1,26,32,112,5,49,37185,119139
15-Dec-14,320,5,5,,,0,1,1,0,19,2,518,4,17,57377,17,10753,23899,4,27743,38361,0,0,0,15,9099,21442,21,38496,0,13,25,29,5,39,34061,62260
27-Oct-14,320,3,2,,,0,1,1,0,25,41,1253,2,64,111127,45,28883,77072,2,756,7217,19,8850,26838,2,2119,5746,66,38489,1,22,39,116,3,165,38489,111127
30-Aug-14,MD8,,5,,,0,1,0,0,32,12,712,4,40,62667,22,8312,21675,3,23469,33626,19,6527,21075,0,0,0,44,38308,4,7,39,250,5,69,29826,76376
1-Aug-14,738,5,5,,,0,1,1,0,67,16,403,0,83,97309,61,25622,65951,4,2473,8983,18,10186,22941,1,246,1983,83,38281,3,15,65,43,5,128,37866,97875
23-Apr-14,320,3,3,,,0,1,1,0,8,34,237,1,41,55558,14,10341,15373,1,7055,7914,27,20877,32271,1,461,595,42,38273,3,25,8,117,4,78,38273,55558
26-Mar-14,319,5,4,,,0,1,1,0,44,11,1387,0,55,153341,31,18228,67416,4,3666,14311,20,16361,71614,4,3516,11344,55,38254,3,8,66,51,5,177,38254,153341
21-Jul-14,757,4,3,1,1,0,1,1,0,20,10,360,0,30,86899,22,28823,66921,4,8117,14706,4,1287,5272,12,13794,40253,30,38227,3,34,15,250,4,82,38227,86899
23-Dec-14,757,5,5,,,0,1,1,0,12,2,146,9,5,87398,3,1133,8018,9,35174,70151,2,1890,9229,0,0,0,14,38198,3,5,5,136,5,24,38198,87398
27-Jan-14,76G,2,3,,,0,1,1,0,23,3,162,25,1,189964,3,2900,12705,6,6816,41620,17,28428,140308,2,2407,11897,26,38144,0,27,40,78,4,81,37317,194633
17-Jun-14,MD8,4,4,,,0,1,1,0,24,4,525,6,22,78466,8,5808,14449,5,24965,41568,15,7351,26863,0,0,0,28,38124,1,14,20,250,5,74,34121,82880
28-May-14,333,5,5,,,0,1,1,0,11,9,292,6,14,105083,12,7829,28974,4,16514,42516,4,13713,42369,0,0,0,20,38056,1,24,37,250,5,49,32291,113859
14-May-14,76L,3,3,,,0,1,1,0,17,6,384,8,15,57847,12,6817,13197,6,26387,46515,5,4845,20416,2,1049,1294,23,38050,4,20,24,128,4,55,30361,80128
