WinPct,PER,Ts_pct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
0.638,10.9,0.474,6.5,16.8,11.7,8.8,2.9,4.7,19.2,0,0.2,0.2,0.089,-3.8,4.3,0.4,0.1
0.638,10.3,0.606,1.1,14.1,7.7,7.3,1.4,0.9,13.8,0.4,0.4,0.8,0.077,-0.3,-0.7,-1,0.1
0.638,15.3,0.611,1.1,6.7,3.9,9.1,0.8,0.2,8.8,4.4,0.6,5,0.119,3,-2.7,0.3,1.2
0.638,24.8,0.582,2.1,12.8,7.5,46.3,2.7,0.4,13.1,9.7,2.5,12.2,0.242,6.7,0,6.7,5.3
0.638,20.5,0.641,15.7,32.3,24.1,3,1.4,5.3,13.5,6,4.3,10.3,0.208,0.6,3,3.6,3.4
0.638,3.2,0.435,1.1,7.6,4.4,2.5,1.5,0,4.4,0,0.1,0.1,0.026,-4.5,-1.1,-5.5,-0.1
0.638,10.8,0.48,3.1,20.1,11.7,10.4,1,3.7,10.5,0,1.3,1.3,0.056,-2.3,1.2,-1.1,0.3
0.638,10.2,0.615,1.5,14.7,8.2,4,0,0,10.3,0.1,0,0.1,0.068,-0.7,-3.8,-4.5,0
0.638,22.8,0.551,6.3,18.1,12.3,25.6,1.4,1,10.2,5.3,1.8,7.1,0.177,3.1,0.8,3.9,2.9
0.638,10,0.513,1.7,7.2,4.5,18.1,1.9,0.8,16.4,0.2,0.4,0.5,0.049,-0.6,-1.4,-2,0
0.638,3.3,0.387,1.1,11.9,6.6,5.1,0.5,0,0,0,0,0,0.016,-4.4,-1.7,-6.1,-0.1
0.638,12.1,0.509,5.5,15.2,10.4,6.3,2.6,2,10.7,0.4,1,1.4,0.087,-2.9,1.1,-1.8,0
0.638,7.4,0.452,1.3,10,5.7,16.6,1.7,0,15.3,-0.1,0.1,-0.1,-0.027,-3.9,-2.8,-6.7,-0.1
0.638,17.5,0.539,1.2,7.1,4.2,15.2,1.7,0.7,8.8,2.7,1,3.6,0.108,2.1,-2.9,-0.8,0.5
0.638,11.7,0.59,2.2,12.3,7.3,7.3,1.5,1.8,11.8,2.1,1.6,3.7,0.094,1,0.7,1.7,1.8
0.258,14.2,0.52,1.8,8.9,5.3,6.9,1.2,0.9,7.5,1.2,0.1,1.3,0.061,1,-4.2,-3.2,-0.3
0.258,11.1,0.448,8.2,14.6,11.3,7.2,1.3,3.1,8,0.4,0.5,0.9,0.046,-3,0.5,-2.6,-0.1
0.258,-7.5,0.258,0,0,0,0,0,0,20.5,-0.1,0,-0.1,-0.273,-12.1,-4.3,-16.5,-0.1
0.258,10.2,0.455,2.1,5.8,3.9,24.3,3.5,0.3,17.6,0.2,0.6,0.8,0.038,-0.9,-0.8,-1.7,0.1
0.258,15.8,0.545,1.3,9.9,5.5,29,2.3,1.4,18.3,1.7,0.8,2.6,0.074,0.7,-1.2,-0.5,0.6
0.258,6.2,0.443,1.5,13.7,7.4,7.5,1,1,11.3,-0.3,0.2,-0.1,-0.007,-3.6,-1.2,-4.8,-0.5
0.258,11.5,0.526,2.8,11.8,7.2,8.8,1.4,1.7,10.8,1.3,0.6,1.9,0.05,-0.4,-0.4,-0.7,0.6
0.258,16.5,0.501,9.8,22.5,15.9,9.3,0.9,2.3,10.9,1.3,1,2.4,0.067,-1.6,-0.5,-2.1,0
0.258,4.9,0.424,2.5,2.6,2.6,4.7,1.8,0,11.3,0,0,-0.1,-0.028,-5.3,-2.2,-7.6,-0.1
0.258,12.2,0.514,2.1,12.2,7,10.3,1.1,0.1,7.2,1.3,0.2,1.4,0.048,0,-2.3,-2.3,-0.1
0.258,19.9,0.603,12.9,21.8,17.2,8.7,1.4,4.4,9.4,4.2,1.4,5.6,0.171,1.5,2.2,3.7,2.2
0.258,14.9,0.51,4.3,9.8,7,19.6,1.6,0.5,11.9,0.9,0.2,1.1,0.058,0.4,-2.1,-1.7,0.1
0.258,17.7,0.477,2.3,16.2,9,29.7,2,0.5,13.5,-0.3,0.6,0.3,0.011,1.6,-1.2,0.4,0.7
0.258,10.5,0.61,0,5.7,2.7,5.4,2.5,0,18.9,0,0,0,0.014,-2.2,-2.1,-4.3,0
0.258,16.8,0.524,6.8,25.2,15.7,10,1.2,0.5,10.1,1.4,1,2.4,0.074,-1.4,-1.4,-2.9,-0.3
0.691,15.9,0.548,1.4,9.5,5.5,25.9,1.7,0.5,14,1.7,1.3,3,0.118,0.4,-1.1,-0.7,0.4
0.691,31.5,1.064,0,0,0,22.6,0,0,0,0.1,0,0.1,0.475,6.8,-8.6,-1.8,0
0.691,16.2,0.542,15.5,14.3,14.9,4.3,1.9,3,12.4,0.2,0.2,0.4,0.154,-1,-0.1,-1.1,0
0.691,19.9,0.537,12,26.9,19.5,10.5,1.6,0.6,12.7,2.8,3.1,5.9,0.151,0.3,0.9,1.2,1.5
0.691,-0.7,0,0,0,0,0,8.7,0,0,0,0,0,-0.059,-7.8,6.4,-1.4,0
0.691,12.3,0.481,7,21.9,14.5,8.9,1.1,0.9,10.2,0.2,1.1,1.3,0.081,-2.9,-0.1,-3,-0.2
0.691,12.1,0.568,1,7.7,4.4,10.3,1.6,0.4,10,2.5,1.9,4.4,0.107,0.6,0,0.6,1.3
0.691,13.6,0.52,9.5,24.9,17.3,4.7,1.2,4.1,15,0.5,2,2.5,0.11,-3.5,2.1,-1.4,0.2
