Rk,Player,Pos,Age,WinPct,Team,G,MP,PER,TSpct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
383,Steve Novak,PF,30,0.585,TOR,54,540,11.1,0.599,0.836,0.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,1,0.5,1.4,0.127,1.1,-1.7,-0.5,0.2
384,Kyle Lowry,PG,27,0.585,TOR,79,2862,20.1,0.567,0.463,0.356,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,8.4,3.3,11.7,0.197,5.8,0.1,5.9,5.7
385,Amir Johnson,PF,26,0.585,TOR,77,2214,15.4,0.592,0.108,0.234,9,17.6,13.3,8.7,1.3,3.2,15.4,16.4,3.2,3.1,6.3,0.136,0.2,2.4,2.6,2.6
386,Tyler Hansbrough,PF,28,0.585,TOR,64,978,14.2,0.562,0.01,0.944,14.2,20,17.1,2.7,1.5,1.6,14.5,15.1,1.7,1.4,3,0.149,-1.7,-0.2,-1.8,0
387,Landry Fields,SF,25,0.585,TOR,30,322,8.6,0.443,0.075,0.328,5.4,16,10.7,9.3,1.6,0.7,12.5,12.4,0,0.4,0.4,0.057,-3.9,0.9,-2.9,-0.1
388,DeMar DeRozan,SG,24,0.585,TOR,79,3017,18.4,0.532,0.149,0.448,2,11.3,6.6,18.9,1.5,0.7,9.5,28,5.8,3,8.8,0.141,1.4,-0.7,0.7,2
389,Dwight Buycks,PG,24,0.585,TOR,14,146,7.2,0.414,0.354,0.188,3.2,15.2,9.2,10.6,2.9,0,16.1,19.3,-0.2,0.2,0,-0.009,-4.8,0.2,-4.5,-0.1
453,Marvin Williams,PF,27,0.305,UTA,66,1674,14,0.54,0.445,0.139,5.5,17.9,11.5,7.7,1.7,1.5,8.7,16.7,1.9,1,2.9,0.084,0.5,-0.3,0.2,0.9
454,Jamaal Tinsley,PG,35,0.305,UTA,8,110,1.9,0.225,0.75,0,2,9.7,5.8,29.5,1,0,31,12.1,-0.3,0,-0.3,-0.122,-6.6,-3.1,-9.7,-0.2
455,Brandon Rush,SG,28,0.305,UTA,38,418,4.1,0.428,0.522,0.056,1.3,11.1,6.1,8.5,0.6,1.7,17.8,12.3,-0.5,0,-0.4,-0.05,-5,-1.3,-6.3,-0.4
456,John Lucas,PG,31,0.305,UTA,42,591,5.2,0.403,0.442,0.084,2.3,5.4,3.8,11.1,1.2,0,10,17,-0.7,0,-0.7,-0.058,-3.7,-3.3,-7,-0.7
457,Enes Kanter,C,21,0.305,UTA,80,2138,15.6,0.523,0.001,0.239,11.6,20.9,16.1,6.4,0.7,1.5,13.3,23.3,1.3,0.9,2.2,0.05,-2.1,-1.8,-3.9,-1
458,Richard Jefferson,SF,33,0.305,UTA,82,2213,11.8,0.573,0.46,0.248,0.9,10.8,5.7,9.6,1.3,0.5,11.5,16.9,2.3,0.4,2.7,0.058,0.3,-1.7,-1.4,0.3
459,Gordon Hayward,SF,23,0.305,UTA,77,2800,16.2,0.52,0.271,0.369,2.5,14,8,24.1,2.1,1.1,15,23.1,2.2,1.5,3.6,0.062,1,0,1,2.1
460,Mike Harris,PF,30,0.305,UTA,20,225,15.3,0.576,0.033,0.443,7.4,9.5,8.4,3.6,3.7,2.4,13.1,17.1,0.3,0.2,0.5,0.116,-1.4,0.6,-0.7,0.1
461,Rudy Gobert,C,21,0.305,UTA,45,434,12.9,0.507,0,0.878,13.1,28.5,20.6,2.4,1,7.4,23.8,14.2,-0.2,0.6,0.4,0.045,-6.1,1.8,-4.3,-0.3
462,Diante Garrett,PG,25,0.305,UTA,71,1048,7.1,0.459,0.362,0.045,1.2,9.8,5.3,17.6,2.1,0.4,21.7,15.1,-1.1,0.3,-0.8,-0.036,-4,-1.2,-5.2,-0.8
463,Derrick Favors,PF,22,0.305,UTA,73,2201,19,0.556,0.001,0.38,10.1,23.7,16.7,7.3,1.8,3.8,12.9,20.8,2.9,2.3,5.1,0.112,-0.8,1.4,0.7,1.5
464,Jeremy Evans,SF,26,0.305,UTA,66,1209,16.2,0.549,0.006,0.226,11.1,18.7,14.8,6.1,1.8,3,9.9,15.3,1.9,1,2.8,0.112,-0.9,0.8,-0.1,0.6
465,Ian Clark,SG,22,0.305,UTA,23,172,9.2,0.485,0.463,0.104,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,-0.2,0.1,-0.1,-0.025,-2.6,-2.1,-4.7,-0.1
466,Alec Burks,SG,22,0.305,UTA,78,2193,15.8,0.547,0.172,0.449,3,10.7,6.8,16.9,1.7,0.5,13,23.9,2.6,0.6,3.2,0.07,0.5,-1.7,-1.2,0.5
467,Trey Burke,PG,21,0.305,UTA,70,2262,12.6,0.473,0.375,0.126,1.8,9,5.3,29.4,1,0.2,12.2,21.8,1,0,0.9,0.02,0.5,-3,-2.5,-0.3
468,Andris Biedrins,C,27,0.305,UTA,6,45,2.4,0.412,0,6,5,39.7,21.8,0,0,0,35.5,5.7,-0.1,0,0,-0.033,-10.7,-4.3,-15,-0.1
469,Martell Webster,SF,27,0.537,WAS,78,2157,11.5,0.591,0.634,0.213,2,10.1,6,6.7,1,0.6,8.3,14.7,3.3,1.7,5,0.112,1,-1.1,-0.1,1
470,John Wall,PG,23,0.537,WAS,82,2980,19.5,0.524,0.23,0.295,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,4,4,7.9,0.128,2.4,0.2,2.6,3.4
476,Nene Hilario,PF,31,0.537,WAS,53,1560,16.6,0.53,0.008,0.448,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24,0.8,2.4,3.2,0.098,-1.6,1.8,0.2,0.9
478,Marcin Gortat,C,29,0.537,WAS,81,2655,17.6,0.568,0.001,0.273,8.7,25.1,16.7,8.4,0.8,3.8,11.8,18.2,4.1,4,8.1,0.146,-1.1,2.1,1,2
480,Trevor Booker,PF,26,0.537,WAS,72,1553,15,0.563,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,2.3,2,4.3,0.132,-1.1,1.3,0.2,0.8
481,Bradley Beal,SG,20,0.537,WAS,73,2530,14.3,0.507,0.299,0.164,2.4,10.2,6.3,16,1.4,0.6,9.4,24.3,1.6,2.4,4,0.076,0.2,-1.3,-1.1,0.5
482,Trevor Ariza,SF,28,0.537,WAS,77,2723,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,4.3,3.7,8,0.141,2.3,1.1,3.4,3.6
