PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
2225,Tony Parker,SAS,0.627,-0.5,-3.06,-3.55,0.44,1.33,-1.38,-0.72,-1.64,-0.06,-3.4
200768,Kyle Lowry,TOR,0.603,1.33,0.19,1.52,0.59,2.11,-0.84,0.48,0.39,-0.19,1
202335,Patrick Patterson,TOR,0.603,1.31,0.18,1.49,0.51,-0.27,1.35,0.52,0.26,-0.18,0.9
101150,Lou Williams,TOR,0.603,1.03,-0.06,0.97,0.99,0.12,-0.1,-0.12,0.49,0.18,0.4
202685,Jonas Valanciunas,TOR,0.603,0.53,0.26,0.78,0.94,-1.26,0.79,1.02,-0.09,-0.44,0.3
201949,James Johnson,TOR,0.603,0.39,-0.24,0.15,0.65,0.11,0,-0.23,0.33,0.26,-0.4
201946,Tyler Hansbrough,TOR,0.603,-0.66,0.51,-0.15,-0.21,-1.13,1.78,-0.34,0.47,0.86,-0.8
201942,DeMar DeRozan,TOR,0.603,-0.77,0.14,-0.63,0.19,0.63,-0.55,0.2,0.15,0.23,-1
101161,Amir Johnson,TOR,0.603,-0.35,-0.9,-1.25,0.55,-0.59,0.19,0.1,-0.53,-0.04,-1.5
203082,Terrence Ross,TOR,0.603,-0.85,-0.63,-1.48,0.21,-0.59,0.41,0.68,-0.32,-0.57,-1.6
202349,Greivis Vasquez,TOR,0.603,-0.53,-1.07,-1.61,0.04,1.2,-0.57,0.17,-0.76,-0.07,-1.8
203497,Rudy Gobert,UTA,0.448,0.35,3.3,3.65,0.42,-0.61,1.01,2.33,0.45,0.17,2.5
202324,Derrick Favors,UTA,0.448,0.65,-0.16,0.49,0.8,-0.67,0.62,0.78,0.01,-0.57,0.1
202330,Gordon Hayward,UTA,0.448,0.78,-1.28,-0.5,1.11,0.67,-1,-0.22,0.11,-0.41,-0.7
204060,Joe Ingles,UTA,0.448,-1.3,-0.19,-1.49,-0.33,0.73,-0.13,0.27,0.5,-0.35,-1.7
202344,Trevor Booker,UTA,0.448,-1.17,-0.68,-1.85,0.36,-0.64,-0.08,0.22,-0.11,-0.27,-2
203504,Trey Burke,UTA,0.448,-1.26,-2.38,-3.64,-0.33,0.97,-0.3,-0.17,-0.76,-0.72,-3.5
202683,Enes Kanter,UTA,0.448,-1.19,-2.48,-3.67,0.49,-1.18,0.12,-0.48,-0.56,-0.63,-3.5
203957,Dante Exum,UTA,0.448,-2.18,-1.69,-3.87,-0.36,0.36,-0.47,-0.43,-0.92,0.2,-3.6
203918,Rodney Hood,UTA,0.448,-2.43,-1.75,-4.18,-0.47,-0.23,0.04,-0.7,-0.38,0.08,-3.6
202692,Alec Burks,UTA,0.448,-0.98,-3.96,-4.94,0.21,0.14,-0.34,-0.88,-0.91,-1.12,-4.4
202322,John Wall,WAS,0.588,0.7,0.86,1.56,0.46,3.28,-2.13,-0.06,0.36,0.94,1.1
1718,Paul Pierce,WAS,0.588,0.8,0.46,1.26,0.86,0.03,0.03,-0.08,-0.17,1,0.7
101162,Marcin Gortat,WAS,0.588,-0.8,1.74,0.93,0.3,-0.87,0.52,0.83,-0.16,0.98,0.4
2403,Nene,WAS,0.588,-0.8,1.7,0.9,0.43,0,-0.47,0.24,0.47,1.18,0.3
202066,Garrett Temple,WAS,0.588,-1.54,1.3,-0.24,-0.15,-0.09,0.07,-0.83,1.52,1.31,-1
2743,Kris Humphries,WAS,0.588,-0.76,0.32,-0.44,-0.03,-0.84,1.13,-0.07,0.44,0.44,-0.8
2446,Rasual Butler,WAS,0.588,0.23,-1,-0.77,0.65,-0.62,0.5,-0.04,-0.5,0.03,-1.1
203078,Bradley Beal,WAS,0.588,-0.74,-0.22,-0.95,0.31,0.22,-0.38,-0.21,-0.14,0.59,-1.2
203490,Otto Porter,WAS,0.588,-0.38,-1.86,-2.24,0.02,-0.45,1.02,-0.59,-0.3,-0.19,-2.3
202338,Kevin Seraphin,WAS,0.588,-1.43,-1.4,-2.82,0.45,-0.65,-0.45,0.4,-1.4,-0.16,-2.7
