Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
252,Jeff Withey,C,23,NOP,0.415,58,4,11.8,684.4,15.2,0.59,8.2,17.4,12.7,5.6,1.1,6.1,11,1.2,0.6,1.8,0.128,-1.4,1.7,0.3,0.4,0.9,0.3,1.3,3.3,0,0,1.3
253,Lance Thomas,SF,25,NOP,0.415,5,0,8.4,42,0.5,0.279,5.4,14,9.7,9.7,0,0,15.7,-0.1,0,-0.1,-0.117,-8,-2.7,-10.7,-0.1,0,0.4,0.8,1.2,0,,0.8
254,Greg Stiemsma,C,28,NOP,0.415,55,20,18.3,1006.5,9.7,0.584,8.2,18,13,5,1.8,4.7,24.4,0.5,1,1.5,0.072,-2.3,2.9,0.6,0.7,1,0.8,3.1,2.9,0,0,0.6
255,Jason Smith,PF,27,NOP,0.415,31,27,26.8,830.8,12.4,0.495,7,18.5,12.7,5.6,0.7,2.9,8.4,0.5,0.4,0.9,0.054,-2.6,-0.9,-3.5,-0.3,0.9,0.9,3.2,9.7,0,,1.6
256,Brian Roberts,PG,28,NOP,0.415,72,42,23.2,1670.4,13.4,0.529,1.2,8.4,4.7,22.1,1.3,0.4,12.9,2,0.2,2.2,0.063,0.3,-3.2,-2.9,-0.4,0.1,1.3,1.8,9.4,2.5,0.36,1.8
257,Austin Rivers,SG,21,NOP,0.415,69,4,19.4,1338.6,11.6,0.482,2.2,9.1,5.6,18.7,1.8,0.6,12.3,0.2,0.4,0.6,0.023,-1.5,-2.5,-3.9,-0.7,0.1,1.1,1.9,7.7,1.4,0.364,2.5
258,Anthony Morrow,SG,28,NOP,0.415,76,9,18.8,1428.8,13.9,0.57,2.3,9.2,5.7,6.7,1.4,0.7,8.4,2.1,0.3,2.4,0.081,0.8,-3.1,-2.4,-0.1,0.2,0.7,1.3,8.4,2.6,0.451,1.1
259,Darius Miller,SF,23,NOP,0.415,45,7,16.1,724.5,9,0.55,1.4,7,4.2,8.7,1.7,1,10.8,0.6,0.2,0.8,0.055,-0.7,-1.7,-2.3,-0.1,0.2,0.5,2,4.4,1.7,0.325,0.8
260,Jrue Holiday,PG,23,NOP,0.415,34,34,33.6,1142.4,17.1,0.505,2.8,11.8,7.2,38.9,2.6,0.9,17.9,0.8,0.7,1.5,0.064,1.5,-0.8,0.7,0.8,0.4,3.1,2.7,14.3,2.3,0.39,1.9
261,Eric Gordon,SG,25,NOP,0.415,64,64,32.1,2054.4,14.9,0.54,1.7,7.7,4.7,16.6,1.9,0.5,12.8,2,0.5,2.5,0.058,1.2,-2.5,-1.2,0.4,0.2,2.1,1.8,15.4,4,0.391,3.5
262,Tyreke Evans,SF,24,NOP,0.415,72,22,28.2,2030.4,18.4,0.504,4.3,15.4,9.8,30.4,2.2,0.9,14.5,1.8,1.3,3.1,0.073,1.2,-0.4,0.8,1.4,0.3,2.4,2.2,14.5,1.3,0.221,4.3
263,Melvin Ely,C,35,NOP,0.415,2,0,13.5,27,3.9,0.5,0,4.4,2.2,0,0,3.1,0,0,0,0,0.011,-4.9,-2.8,-7.6,0,0.5,0,2.5,3,0,,0
264,Anthony Davis,C,20,NOP,0.415,67,66,35.2,2358.4,26.5,0.582,10,23.3,16.6,8,2,6.7,8.3,7.2,3.2,10.4,0.212,2.3,2.2,4.5,3.9,2.8,1.6,3,20.8,0.1,0.222,6.6
265,Josh Childress,SF,30,NOP,0.415,4,0,6,24,3.9,,0,14.7,7.3,10.7,2.2,0,100,0,0,0,-0.003,-6.2,2,-4.3,0,0,0.3,0.3,0,0,,0
266,Luke Babbitt,PF,24,NOP,0.415,27,2,17.5,472.5,12.1,0.525,4.4,17.5,10.8,9.4,0.8,1.9,8.5,0.5,0.2,0.7,0.074,0.5,-1.9,-1.4,0.1,0.4,0.6,1.9,6.3,3.5,0.379,0.7
267,Ryan Anderson,PF,25,NOP,0.415,22,14,36.1,794.2,18.8,0.572,9.5,11.3,10.4,3.6,0.7,0.7,5,2.2,0.1,2.3,0.138,4.3,-4.5,-0.1,0.4,0.3,0.9,2.1,19.8,7.5,0.409,2.8
268,Al-Farouq Aminu,SF,23,NOP,0.415,80,65,25.6,2048,13.2,0.516,7.2,21.2,14.1,8.4,2.1,1.6,13.7,1.3,1.8,3.1,0.072,-1.4,1,-0.3,0.9,0.5,1.1,1.8,7.2,0.6,0.271,1.7
269,Alexis Ajinca,C,25,NOP,0.415,56,30,17,952,14.6,0.589,11.3,22.7,16.9,6.6,1.3,4.1,18.4,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,0.8,1.1,3.3,5.9,0,0,1.2
270,Metta World Peace,SF,34,NYK,0.451,29,1,13.4,388.6,11.7,0.469,5.3,12.8,8.9,7.1,3.3,1.8,11.4,-0.2,0.4,0.3,0.032,-1.9,-0.1,-2.1,0,0.3,0.7,1.5,4.8,1.9,0.315,0.6
271,Jeremy Tyler,C,22,NYK,0.451,41,0,9.7,397.7,13,0.532,10.9,21.6,16.1,3.3,0.8,4.5,15.9,0.1,0.4,0.5,0.064,-4.3,-0.8,-5.1,-0.3,0.5,0.6,1.7,3.6,0,,1.2
272,Amar'e Stoudemire,C,31,NYK,0.451,65,21,22.6,1469,18.8,0.596,8.7,17.2,12.8,4.2,0.8,2.2,12.3,2.9,0.9,3.8,0.124,-0.8,-2.3,-3.1,-0.4,0.6,1.4,2.4,11.9,0,,3.1
273,J.R. Smith,SF,28,NYK,0.451,74,37,32.7,2419.8,14,0.527,1.7,13.1,7.2,15.1,1.4,0.7,9.6,2.5,1.2,3.7,0.073,1.8,-1.6,0.1,1.3,0.3,1.5,2.6,14.5,6.5,0.394,1.9
274,Chris Smith,PG,26,NYK,0.451,2,0,1,2,0,,0,0,0,0,0,0,,0,0,0,-0.02,-5.8,-0.5,-6.2,0,0,0,0,0,0,,0
